"districtHistId";"municipalityId";"municipalityLongName";"districtId";"districtLongName";"districtShortName"
10007;5001;"Arbedo-Castione";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5002;"Bellinzona";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5003;"Cadenazzo";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5004;"Camorino";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5005;"Giubiasco";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5006;"Gnosca";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5007;"Gorduno";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5008;"Gudo";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5009;"Isone";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5010;"Lumino";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5012;"Moleno";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5013;"Monte Carasso";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5014;"Pianezzo";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5015;"Preonzo";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5017;"Sant'Antonino";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5018;"Sant'Antonio";2101;"Distretto di Bellinzona";"Bellinzona"
10007;5019;"Sementina";2101;"Distretto di Bellinzona";"Bellinzona"
10006;5048;"Acquarossa";2102;"Distretto di Blenio";"Blenio"
10006;5049;"Blenio";2102;"Distretto di Blenio";"Blenio"
10006;5050;"Serravalle";2102;"Distretto di Blenio";"Blenio"
10005;5061;"Airolo";2103;"Distretto di Leventina";"Leventina"
10005;5063;"Bedretto";2103;"Distretto di Leventina";"Leventina"
10005;5064;"Bodio";2103;"Distretto di Leventina";"Leventina"
10005;5071;"Dalpe";2103;"Distretto di Leventina";"Leventina"
10005;5072;"Faido";2103;"Distretto di Leventina";"Leventina"
10005;5073;"Giornico";2103;"Distretto di Leventina";"Leventina"
10005;5076;"Personico";2103;"Distretto di Leventina";"Leventina"
10005;5077;"Pollegio";2103;"Distretto di Leventina";"Leventina"
10005;5078;"Prato (Leventina)";2103;"Distretto di Leventina";"Leventina"
10005;5079;"Quinto";2103;"Distretto di Leventina";"Leventina"
10005;5081;"Sobrio";2103;"Distretto di Leventina";"Leventina"
10004;5091;"Ascona";2104;"Distretto di Locarno";"Locarno"
10004;5095;"Brione (Verzasca)";2104;"Distretto di Locarno";"Locarno"
10004;5096;"Brione sopra Minusio";2104;"Distretto di Locarno";"Locarno"
10004;5097;"Brissago";2104;"Distretto di Locarno";"Locarno"
10004;5102;"Corippo";2104;"Distretto di Locarno";"Locarno"
10004;5105;"Frasco";2104;"Distretto di Locarno";"Locarno"
10004;5108;"Gordola";2104;"Distretto di Locarno";"Locarno"
10004;5109;"Gresso";2104;"Distretto di Locarno";"Locarno"
10004;5112;"Lavertezzo";2104;"Distretto di Locarno";"Locarno"
10004;5113;"Locarno";2104;"Distretto di Locarno";"Locarno"
10004;5115;"Losone";2104;"Distretto di Locarno";"Locarno"
10004;5117;"Mergoscia";2104;"Distretto di Locarno";"Locarno"
10004;5118;"Minusio";2104;"Distretto di Locarno";"Locarno"
10004;5119;"Mosogno";2104;"Distretto di Locarno";"Locarno"
10004;5120;"Muralto";2104;"Distretto di Locarno";"Locarno"
10004;5121;"Orselina";2104;"Distretto di Locarno";"Locarno"
10004;5125;"Ronco sopra Ascona";2104;"Distretto di Locarno";"Locarno"
10004;5129;"Sonogno";2104;"Distretto di Locarno";"Locarno"
10004;5131;"Tenero-Contra";2104;"Distretto di Locarno";"Locarno"
10004;5132;"Vergeletto";2104;"Distretto di Locarno";"Locarno"
10004;5135;"Vogorno";2104;"Distretto di Locarno";"Locarno"
10004;5136;"Onsernone";2104;"Distretto di Locarno";"Locarno"
10004;5137;"Isorno";2104;"Distretto di Locarno";"Locarno"
10004;5138;"Cugnasco-Gerra";2104;"Distretto di Locarno";"Locarno"
10004;5398;"Gambarogno";2104;"Distretto di Locarno";"Locarno"
10004;5396;"Terre di Pedemonte";2104;"Distretto di Locarno";"Locarno"
10004;5397;"Centovalli";2104;"Distretto di Locarno";"Locarno"
10003;5143;"Aranno";2105;"Distretto di Lugano";"Lugano"
10003;5144;"Arogno";2105;"Distretto di Lugano";"Lugano"
10003;5149;"Bedigliora";2105;"Distretto di Lugano";"Lugano"
10003;5151;"Bioggio";2105;"Distretto di Lugano";"Lugano"
10003;5146;"Astano";2105;"Distretto di Lugano";"Lugano"
10003;5148;"Bedano";2105;"Distretto di Lugano";"Lugano"
10003;5161;"Cademario";2105;"Distretto di Lugano";"Lugano"
10003;5162;"Cadempino";2105;"Distretto di Lugano";"Lugano"
10003;5154;"Bissone";2105;"Distretto di Lugano";"Lugano"
10003;5160;"Brusino Arsizio";2105;"Distretto di Lugano";"Lugano"
10003;5141;"Agno";2105;"Distretto di Lugano";"Lugano"
10003;5178;"Croglio";2105;"Distretto di Lugano";"Lugano"
10003;5180;"Cureglia";2105;"Distretto di Lugano";"Lugano"
10003;5181;"Curio";2105;"Distretto di Lugano";"Lugano"
10003;5186;"Grancia";2105;"Distretto di Lugano";"Lugano"
10003;5187;"Gravesano";2105;"Distretto di Lugano";"Lugano"
10003;5189;"Lamone";2105;"Distretto di Lugano";"Lugano"
10003;5192;"Lugano";2105;"Distretto di Lugano";"Lugano"
10003;5193;"Magliaso";2105;"Distretto di Lugano";"Lugano"
10003;5194;"Manno";2105;"Distretto di Lugano";"Lugano"
10003;5195;"Maroggia";2105;"Distretto di Lugano";"Lugano"
10003;5167;"Canobbio";2105;"Distretto di Lugano";"Lugano"
10003;5171;"Caslano";2105;"Distretto di Lugano";"Lugano"
10003;5176;"Comano";2105;"Distretto di Lugano";"Lugano"
10003;5199;"Mezzovico-Vira";2105;"Distretto di Lugano";"Lugano"
10003;5200;"Miglieglia";2105;"Distretto di Lugano";"Lugano"
10003;5202;"Monteggio";2105;"Distretto di Lugano";"Lugano"
10003;5203;"Morcote";2105;"Distretto di Lugano";"Lugano"
10003;5205;"Muzzano";2105;"Distretto di Lugano";"Lugano"
10003;5206;"Neggio";2105;"Distretto di Lugano";"Lugano"
10003;5207;"Novaggio";2105;"Distretto di Lugano";"Lugano"
10003;5208;"Origlio";2105;"Distretto di Lugano";"Lugano"
10003;5210;"Paradiso";2105;"Distretto di Lugano";"Lugano"
