"sezioni";"codici";"titoli_corti";"titoli";"l"
"A";"01";"Prod. vegetali e animali, caccia";"Produzioni vegetali e animali, caccia e servizi connessi";2
"A";"02";"Silvicolt. e utilizzo di aree forestali";"Silvicoltura e utilizzo di aree forestali";2
"A";"03";"Pesca e acquicolt.";"Pesca e acquicoltura";2
"B";"05";"Estr. di carbone e lignite";"Estrazione di carbone e lignite";2
"B";"06";"Estr. di petrolio greggio";"Estrazione di petrolio greggio e di gas naturale";2
"B";"07";"Estr. di min. metalliferi";"Estrazione di minerali metalliferi";2
"B";"08";"Altre att. estrattive";"Altre attività estrattive";2
"B";"09";"Att. dei servizi di supporto all'estr.";"Attività dei servizi di supporto all'estrazione";2
"C";"10";"Ind. alimentari";"Industrie alimentari";2
"C";"11";"Prod. di bevande";"Produzione di bevande";2
"C";"12";"Ind. del tabacco";"Industria del tabacco";2
"C";"13";"Ind. tessili";"Industrie tessili";2
"C";"14";"Conf. di articoli di abbigliamento";"Confezione di articoli di abbigliamento";2
"C";"15";"Conf. di articoli in pelle e simili";"Confezione di articoli in pelle e simili";2
"C";"16";"Ind. del legno e dei prod. in legno";"Industria del legno e dei prodotti in legno e sughero, esclusi i mobili; fabbricazione di articoli in paglia e materiali da intreccio";2
"C";"17";"F. di carta e di prodotti di carta";"Fabbricazione di carta e di prodotti di carta";2
"C";"18";"Stampa e riprod. su supporti registrati";"Stampa e riproduzione su supporti registrati";2
"C";"19";"F. di coke";"Fabbricazione di coke e prodotti derivanti dalla raffinazione del petrolio";2
"C";"20";"F. di prodotti chimici";"Fabbricazione di prodotti chimici";2
"C";"21";"F. di prodotti farmaceutici di base";"Fabbricazione di prodotti farmaceutici di base e di preparati farmaceutici";2
"C";"22";"F. di art. in gomma e mat. plastiche";"Fabbricazione di articoli in gomma e materie plastiche";2
"C";"23";"F. di a. prod. d. lav. di min. non met.";"Fabbricazione di altri prodotti della lavorazione di minerali non metalliferi";2
"C";"24";"Att. metallurgiche";"Attività metallurgiche";2
"C";"25";"F. di prod. in met., escl. macch.";"Fabbricazione di prodotti in metallo, esclusi macchinari e attrezzature";2
"C";"26";"F. di computer e prod. di el. e ottica";"Fabbricazione di computer e prodotti di elettronica e ottica";2
"C";"27";"F. di app. elettriche";"Fabbricazione di apparecchiature elettriche";2
"C";"28";"F. di macch. e apparechiature nca";"Fabbricazione di macchinari e apparecchiature n.c.a.";2
"C";"29";"F. di autoveicoli, rimorchi";"Fabbricazione di autoveicoli, rimorchi e semirimorchi";2
"C";"30";"F. di altri mezzi di trasp.";"Fabbricazione di altri mezzi di trasporto";2
"C";"31";"F. di mobili";"Fabbricazione di mobili";2
"C";"32";"Altre ind. manifatturiere";"Altre industrie manifatturiere";2
"C";"33";"Ripar. e inst. di macchine e app.";"Riparazione e installazione di macchine e apparecchiature";2
"D";"35";"Fornitura di energia el., gas, vapore";"Fornitura di energia elettrica, gas, vapore e aria condizionata";2
"E";"36";"Raccolta, tratt. e fornitura di acqua";"Raccolta, trattamento e fornitura di acqua";2
"E";"37";"Gestione delle reti fognarie";"Gestione delle reti fognarie";2
"E";"38";"Att. di racc., tratt. e smalt. rifiuti";"Attività di raccolta, trattamento e smaltimento dei rifiuti; recupero dei materiali";2
"E";"39";"Att. di risanamento";"Attività di risanamento e altri servizi di gestione dei rifiuti";2
"F";"41";"Costruzione di edifici";"Costruzione di edifici";2
"F";"42";"Ingegneria civile";"Ingegneria civile";2
"F";"43";"Lav. di costruzione specializzati";"Lavori di costruzione specializzati";2
"G";"45";"Ci. e cd. e ripar. di autov. e motoci.";"Commercio all'ingrosso e al dettaglio e riparazione di autoveicoli e motocicli";2
"G";"46";"Ci., escl. quello d. autoveicoli";"Commercio all'ingrosso, escluso quello di autoveicoli e di motocicli";2
"G";"47";"Cd. escl. quello di autov. e di motoci.";"Commercio al dettaglio, escluso quello di autoveicoli e di motocicli";2
"H";"49";"Trasp. terrestre e trasp. mediante cond.";"Trasporto terrestre e trasporto mediante condotte";2
"H";"50";"Trasp. marittimi e per vie d'acqua";"Trasporti marittimi e per vie d'acqua";2
"H";"51";"Trasporto aereo";"Trasporto aereo";2
"H";"52";"Magaz. e att. di supporto ai trasporti";"Magazzinaggio e attività di supporto ai trasporti";2
"H";"53";"Serv. postali e att. di corriere";"Servizi postali e attività di corriere";2
"I";"55";"Servizi di alloggio";"Servizi di alloggio";2
"I";"56";"Att. di serv. di ristorazione";"Attività di servizi di ristorazione";2
"J";"58";"Att. editoriali";"Attività editoriali";2
