"sezioni";"codici";"titoli_corti";"l"
"A";"011";"Colt. di colture agricole non permanenti";3
"A";"012";"Colt. di colture permanenti";3
"A";"013";"Riprod. delle piante";3
"A";"014";"All. di animali";3
"A";"015";"Colt. agr. ass. all'all. di animali";3
"A";"016";"Att. di supporto all'agricoltura";3
"A";"017";"Caccia, cattura di animali";3
"A";"021";"Silvicolt. e altre att. forestali";3
"A";"022";"Utilizzo di aree forest.";3
"A";"023";"Raccolta di prod. non legnosi selvatici";3
"A";"024";"Servizi di supporto per la silvicolt.";3
"A";"031";"Pesca";3
"A";"032";"Acquicolt.";3
"B";"051";"Estr. di antracite";3
"B";"052";"Estr. di lignite";3
"B";"061";"Estr. di petrolio greggio";3
"B";"062";"Estr. di gas naturale";3
"B";"071";"Estr. di min. metalliferi ferrosi";3
"B";"072";"Estr. di min. metalliferi non ferrosi";3
"B";"081";"Estr. di pietra, sabbia e argilla";3
"B";"089";"Estr. di min. e prod. di cava nca";3
"B";"091";"Att. di supporto all'estr. di petrolio";3
"B";"099";"Att. di supporto ad altre att. estr.";3
"C";"101";"Lavorazione e cons. di carne";3
"C";"102";"Lavorazione e cons. di pesce";3
"C";"103";"Lavorazione e cons. di frutta e ortaggi";3
"C";"104";"Prod. di oli e grassi vegetali e animali";3
"C";"105";"Prod. di latte e latticini";3
"C";"106";"Lav. delle granaglie, prod. di amidi";3
"C";"107";"F. di prod. da forno e farinacei";3
"C";"108";"Prod. di altri prodotti alimentari";3
"C";"109";"Prod. di prod. per l'alim. degli animali";3
"C";"110";"Prod. di bevande";3
"C";"120";"Prod. di tabacchi";3
"C";"131";"Prep. e filatura di fibre tessili";3
"C";"132";"Tessitura";3
"C";"133";"Finissaggio dei tess.";3
"C";"139";"Altre industrie tess.";3
"C";"141";"Conf. di articoli di abbigliamento";3
"C";"142";"Conf. di articoli in pelliccia";3
"C";"143";"F. di articoli di maglieria";3
"C";"151";"Prep. e concia del cuoio";3
"C";"152";"F. di calzature";3
"C";"161";"Taglio e piallatura del legno";3
"C";"162";"F. di prod. in legno, sughero, paglia";3
"C";"171";"F. di pasta-carta, carta e cartone";3
"C";"172";"F. di art. di carta e di cartone";3
"C";"181";"Stampa e servizi connessi alla stampa";3
"C";"182";"Riprod. su supporti registrati";3
"C";"191";"F. di prodotti di cokeria";3
"C";"192";"F. di prod. derivanti dalla raffin.";3
"C";"201";"F. di prod. chimici di base";3
"C";"202";"F. di fitofarmaci e di altri prod. chim.";3
"C";"203";"F. di pitture, vernici e smalti";3
"C";"204";"F. di saponi e detergenti";3
"C";"205";"F. di altri prodotti chimici";3
"C";"206";"F. di fibre sint. e artificiali";3
"C";"211";"F. di prodotti farmaceutici di base";3
"C";"212";"F. di preparati farmaceutici";3
"C";"221";"F. di articoli in gomma";3
"C";"222";"F. di articoli in materie plastiche";3
"C";"231";"F. di vetro e di prodotti in vetro";3
"C";"232";"F. di prodotti refrattari";3
"C";"233";"F. di mat. da costr. in terracotta";3
"C";"234";"F. di altri prod. in porcellana";3
"C";"235";"Prod. di cemento, calce e gesso";3
"C";"236";"F. di prod. in calces., cemento e gesso";3
"C";"237";"Taglio, modellatura e finit. di pietre";3
"C";"239";"F. d. prod. abr. e di min. non met. nca";3
"C";"241";"Att. siderurgiche";3
"C";"242";"F. di tubi, condotti, profilati cavi";3
"C";"243";"F. di prod. d. prima trasf. d. acciaio";3
"C";"244";"Prod. di metalli di base preziosi";3
"C";"245";"Attività di fonderie";3
"C";"251";"F. di elementi da costruzione in met.";3
"C";"252";"F. di cisterne, serbatoi e cont. in met.";3
"C";"253";"F. di generatori di vapore";3
"C";"254";"F. di armi e munizioni";3
"C";"255";"Fucinatura, imbutitura, stampaggio";3
"C";"256";"Tratt. e rivestimento dei metalli";3
"C";"257";"F. di art. di coltelleria, utensili";3
"C";"259";"F. di altri prodotti in metallo";3
"C";"261";"F. di componenti elettronici";3
"C";"262";"F. di computer e unità periferiche";3
"C";"263";"F. di app. per le comunicazioni";3
"C";"264";"F. di prod. di el. di consumo";3
